1 1 4.145500e+01  3.259696e-01 5.111052e-02 1.270351e+01
1 2 5.101500e+01  4.906979e-01 3.710781e-02 1.184189e+01
1 3 4.323000e+01  3.878108e-01 2.542350e-02 1.197163e+01
1 4 3.630500e+01  3.129580e-01 6.088086e-02 1.424037e+01
2 1 4.549500e+01  3.776699e-01 7.471804e-02 1.172246e+01
2 2 6.510500e+01  6.085240e-01 5.712994e-02 1.300715e+01
2 3 5.272000e+01  5.302197e-01 2.368728e-02 1.370250e+01
2 4 3.892000e+01  3.388346e-01 3.798840e-02 1.279311e+01
3 1 4.324000e+01  3.723256e-01 5.941315e-02 1.316905e+01
3 2 5.634000e+01  5.715964e-01 3.415984e-02 1.208068e+01
3 3 4.594500e+01  4.385396e-01 2.209174e-02 1.162381e+01
3 4 4.207000e+01  3.998428e-01 2.798872e-13 1.413482e+01
4 1 4.095500e+01  3.189827e-01 6.866805e-02 1.193537e+01
4 2 5.479000e+01  5.202319e-01 4.519558e-02 1.351454e+01
4 3 4.474500e+01  4.535214e-01 8.243406e-14 1.222261e+01
4 4 4.242500e+01  3.645105e-01 4.759151e-02 1.262182e+01
5 1 5.089500e+01  3.954432e-01 9.388375e-02 1.200236e+01
5 2 5.919000e+01  6.261138e-01 2.361167e-12 1.278745e+01
5 3 5.345000e+01  5.246242e-01 2.678958e-02 1.174313e+01
5 4 4.172500e+01  3.831815e-01 4.424467e-02 1.157568e+01
6 1 4.857500e+01  3.518690e-01 9.034022e-02 1.382283e+01
6 2 4.808500e+01  4.700223e-01 3.909474e-02 1.232200e+01
6 3 5.063500e+01  4.330628e-01 7.579632e-02 1.124662e+01
6 4 3.894500e+01  3.119212e-01 4.983286e-02 1.188152e+01
7 1 6.105500e+01  3.292644e-01 2.818405e-01 1.237009e+01
7 2 6.659000e+01  5.397813e-01 1.607710e-01 1.632062e+01
7 3 5.600500e+01  4.389888e-01 1.262654e-01 1.523883e+01
7 4 5.406000e+01  3.583943e-01 1.890171e-01 1.525809e+01
